Boite vitesse,Brand,Car ID,Carrosserie,Couleur extérieure,Couleur intérieure,Cylindrée,Date de l'annonce,Gouvernorat,Génération,Kilométrage,Marque,Mise en circulation,Model,Modèle,Moteur,Nombre de places,Nombre de portes,Price,Puissance,Puissance cumulée,Puissance fiscale,Puissance thermique,Sellerie,Transmission,Énergie
Automatique,kia,107826,Citadine,Blanc,Noir,1198cm³,20.12.2024,Ben Arous,(JA) Phase 207/2020 - Aujourd'hui,91 000km,KIA,05.2021,picanto,Picanto,,5,4,42 500DT,,,5cv,,Alcantara,Traction,Essence
Automatique,kia,106607,Berline,Blanc,Noir,1998cm³,20.12.2024,Ariana,11/2010 - 07/2015,176 000km,KIA,05.2014,optima,Optima,,5,4,45 500DT,,,10cv,,Similicuir,Traction,Essence
Automatique,kia,105926,Berline,Gris anthracite,Gris,1998cm³,20.12.2024,Ben Arous,11/2010 - 07/2015,379 000km,KIA,03.2012,optima,Optima,,5,4,38 000DT,,,10cv,,Similicuir,Traction,Essence
Automatique,kia,104891,SUV/4x4,Gris argent,Noir,1999cm³,20.12.2024,Ben Arous,III Phase 106/2010 - 12/2013,232 000km,KIA,11.2011,sportage,Sportage,,5,5,47 000DT,,,11cv,,Similicuir,Traction,Essence
Automatique,kia,104678,Berline,Noir,Noir,1398cm³,20.12.2024,Ben Arous,IV Sedan01/2019 - 12/2022,35 000km,KIA,04.2022,rio,Rio Berline,,5,4,69 900DT,,,6cv,,Alcantara,Traction,Essence
Automatique,kia,103833,SUV/4x4,Gris anthracite,Noir,2199cm³,20.12.2024,Tunis,III01/2015 - 02/2020,209 000km,KIA,05.2015,sorento,Sorento,,5,5,89 000DT,,,12cv,,Similicuir,Traction,Diesel
Automatique,kia,102866,SUV/4x4,Noir,Noir,1995cm³,20.12.2024,Ben Arous,III Phase 106/2010 - 12/2013,324 000km,KIA,07.2012,sportage,Sportage,2.0 L Diesel,5,4,54 000DT,177ch dyn,,11cv,,Similicuir,Traction,Diesel
Automatique,kia,97316,SUV/4x4,Blanc,,1598cm³,20.12.2024,Ben Arous,IV Phase 109/2015 - 07/2018,101 000km,KIA,07.2018,sportage,Sportage,1.6 GDi CVVT 16V 4x2  Boite Auto,,,85 000DT,132ch dyn,,8cv,,,Traction,Essence
Automatique,kia,96785,SUV/4x4,Noir,,,20.12.2024,Ben Arous,,210 000km,KIA,09.2012,sorento,Sorento,,,,60 000DT,,,12cv,,,Traction,Diesel
Automatique,kia,94919,Citadine,Blanc,Beige,1999cm³,20.12.2024,Ben Arous,IV Phase 109/2015 - 07/2018,132 000km,KIA,01.2018,sportage,Sportage,2 l Diesel,5,5,110 000DT,178ch dyn,,10cv,,Similicuir,Traction,Diesel
Automatique,kia,109144,Berline,Marron,Gris,1598cm³,19.12.2024,Tunis,III01/2014 - 12/2017,180 000km,KIA,10.2014,cerato-5p,Cerato 5p,1.6 L,5,5,41 500DT,130ch dyn,,8cv,,Tissu,Traction,Essence
Manuelle,kia,106266,Berline,Autre,Beige,1399cm³,19.12.2024,Sfax,II Phase 2 Sedan09/2006 - 05/2011,170 000km,KIA,08.2010,rio,Rio Berline,,5,4,29 000DT,,,6cv,,Tissu,Traction,Essence
Automatique,kia,101396,SUV/4x4,Rouge,Noir,1599cm³,19.12.2024,Nabeul,IV Phase 207/2018 - 12/2021,119 000km,KIA,03.2019,sportage,Sportage,,5,5,98 000DT,,,7cv,,Cuir intégral,Traction,Diesel
Manuelle,kia,106008,Compacte,Noir,Noir,1200cm³,19.12.2024,Tunis,IV Phase 209/2020 - Aujourd'hui,117 000km,KIA,05.2021,rio-5p,Rio 5p,1.2 i-CVVT 16V ISG,5,5,56 000DT,84ch dyn,,5cv,,Tissu,Traction,Essence
