Title,Price,Fuel,Mileage,Year
Jaguar F-Pace R_Dynamic,179 000,Diesel,165 000,2017
Renault Kadjar,70 000,Essence,140 000,2018
Toyota Corolla,79 000,Essence,24 000,2022
Peugeot 308,47 000,Essence,128 000,2020
Mercedes-Benz Classe C coupé AMG,167 000,Essence,130 000,2018
Citroën C3 Shine,47 500,Essence,45 000,2020
Ford Focus Titanium,40 000,Essence,200 000,2015
Porsche Panamera,178 000,Essence,82 000,2011
KIA Seltos,89 000,Essence,130 000,2021
Seat Ibiza FR,81 000,Essence,40 000,2023
Alfa Romeo Giulietta,77 000,Essence,37 000,2019
Land Rover Discovery R-DYNAMIC,235 000,Diesel,87 000,2020
Volkswagen Golf 7 Confortline,49 000,Essence,190 000,2013
Renault Megane 4 Diesel,64 500,Diesel,125 000,2020
KIA Rio 5p GT-Line,65 000,Essence,60 000,2021
Fiat Fiorino,35 000,Diesel,120 000,2021
Dacia Duster Techroad,75 000,Essence,35 000,2020
BMW Série 5 530e Xdrive Pack m,278 000,Hybride,50 000,2021
BMW Série 4 Gran Coupé 418 Luxury,97 000,Essence,133 000,2016
Volkswagen Passat R-Line DSG,125 000,Essence,40 000,2022
Toyota Hilux Double Cabine Gr Sport,290 000,Diesel,7 000,2024
Toyota C-HR,91 000,Essence,55 000,2022
Audi A5 Sportback S-Line,109 000,Essence,120 000,2019
Peugeot 2008,80 000,Diesel,100 000,2021
KIA Rio 5p,Sous leasing                    59 700,Essence,85 000,2022
Honda CR-V,91 000,Essence,67 000,2018
Audi Q5 S-line,295 000,Diesel,40 000,2021
KIA Sportage Hybride,107 000,Hybride,114 000,2021
KIA Sportage GT-Line,128 000,Diesel,19 000,2021
Dacia Duster Techroad,76 000,Essence,34 000,2020
Mercedes-Benz Classe S AMG,660 000,Hybride,3 000,2022
BMW X5 Hybride Xdrive E45,455 000,Hybride,19 000,2021
Hyundai Tucson Hybride Xcellence,138 000,Hybride,120 000,2022
BMW Série 1 I Pack Sport,75 000,Essence,200 000,2019
KIA Sportage GT-Line,105 000,Diesel,140 000,2017
Mercedes-Benz Classe C AMG,235 000,Essence,50 000,2023
Jaguar XE,120 000,Diesel,140 000,2017
Peugeot Rifter,72 000,Diesel,95 000,2020
BMW Série 7 740LI,110 000,Essence,98 000,2010
Peugeot Rifter 5 places,72 000,Diesel,95 000,2020
Land Rover Range Rover Evoque Hybride,187 000,Diesel,50 000,2019
Ford Mondeo Hybride,115 000,Hybride,32 000,2020
KIA Rio 5p GT-Line,64 000,Essence,64 000,2021
Mercedes-Benz GLC AMG,169 000,Essence,115 000,2017
Mini 5 portes One,57 000,Essence,78 000,2016
Citroën C3 Shine,48 000,Essence,28 000,2020
Audi A3 Berline,85 000,Essence,50 000,2019
KIA Sportage,83 500,Essence,127 000,2019
Mercedes-Benz GLA AMG,Non dédouané                    235 000,Essence,12 000,2023
Audi Q3,95 000,Essence,95 000,2017
Mercedes-Benz GLB 200 d,210 000,Diesel,111 000,2021
Audi A4 Face_lift,58 000,Essence,143 000,2016
Land Rover Range Rover Evoque Face_lift,95 000,Essence,170 000,2016
BMW Série 1 Pack M,135 000,Essence,40 000,2020
Land Rover Range Rover Evoque Hybride,195 000,Diesel,40 000,2019
Haval H6 Luxury,79 000,Essence,120 000,2020
Iveco Daily Simple Cabine,105 000,Diesel,40 000,2022
Land Rover Discovery Sport,128 000,Diesel,128 000,2017
Haval H6 Luxury,90 000,Essence,40 000,2021
KIA Sportage Hybride,98 000,Hybride,140 000,2020
KIA Sportage,85 000,Essence,125 000,2019
Hyundai Tucson Hybride,137 000,Hybride,80 000,2021
Audi Q5 QUATTRO 40 TDI,165 000,Diesel,170 000,2019
Fiat Panda City Cross,43 500,Essence,52 000,2020
Volkswagen Golf 6 Match,45 000,Diesel,240 000,2012
Ford Ranger Raptor,228 000,Diesel,100 000,2022
BMW Série 4 Coupé Pack M,130 000,Essence,140 000,2021
Mercedes-Benz Classe B,48 000,Essence,100 000,2014
MG ZS Luxury,75 000,Essence,80 000,2022
Land Rover Range Rover Evoque Hybride,210 000,Diesel,60 000,2019
Renault Kadjar,68 000,Essence,70 000,2019
Mazda 3 Sky active,56 000,Essence,103 000,2017
