Boite vitesse,Brand,Car ID,Carrosserie,Couleur extérieure,Couleur intérieure,Cylindrée,Date de l'annonce,Gouvernorat,Génération,Kilométrage,Marque,Mise en circulation,Model,Modèle,Moteur,Nombre de places,Nombre de portes,Price,Puissance,Puissance cumulée,Puissance fiscale,Puissance thermique,Sellerie,Transmission,Énergie
Automatique,bmw,108655,SUV/4x4,Noir,Marron,1998cm³,26.11.2024,Ariana,(F26)04/2014 - 03/2018,51 000km,BMW,9.2019,x4,X4,20i xDrive 2.0 i 16V,5.0,5.0,243 000DT,184ch dyn,,11cv,,Cuir intégral,Intégrale,Essence
Automatique,bmw,108697,SUV/4x4,Noir,Noir,1499cm³,26.11.2024,Ariana,(F48)09/2015 - 06/2019,107 000km,BMW,9.2016,x1,X1,18i sDrive 1.5 i 12V Steptronic,5.0,5.0,75 000DT,136ch dyn,,7cv,,Cuir intégral,Traction,Essence
Manuelle,bmw,108584,Coupé,Blanc,Noir,1596cm³,25.11.2024,Ariana,(E87) LCI03/2007 - 06/2011,182 000km,BMW,6.2009,serie-1-5p,Série 1,116i 1.6 i 16V 115cv,5.0,4.0,40 000DT,115ch dyn,,7cv,,Cuir intégral,Traction,Essence
Automatique,bmw,108677,Coupé,Gris anthracite,Noir,1995cm³,25.11.2024,Médenine,(G26) Gran Coupé07/2021 - Aujourd'hui,80 000km,BMW,12.2022,serie-4-gran-coupe,Série 4 Gran Coupé,420d 2.0 d 16V Mild Hybrid Steptronic8,5.0,5.0,280 000DT,190ch dyn,,10cv,,Cuir intégral,Intégrale,Diesel
Manuelle,bmw,108675,Berline,Beige,Beige,1999cm³,25.11.2024,Tunis,(F30) Berline01/2011 - 08/2015,242 500km,BMW,6.2012,serie-3,Série 3,,5.0,4.0,55 000DT,,,10cv,,Cuir partiel,Propulsion,Essence
Manuelle,bmw,108645,Berline,Noir,Noir,3000cm³,24.11.2024,Monastir,(F40) 5 portes09/2019 - Aujourd'hui,134 000km,BMW,9.202,serie-1-5p,Série 1,116d 1.5 d 12V,5.0,4.0,90 000DT,116ch dyn,,6cv,,Tissu,Traction,Diesel
Automatique,bmw,108639,SUV/4x4,Blanc,Noir,1500cm³,24.11.2024,Tunis,(F48) LCI07/2019 - Aujourd'hui,108 000km,BMW,1.202,x1,X1,18i sDrive 1.5 i 12V DCT7,5.0,5.0,121 000DT,140ch dyn,,8cv,,Cuir intégral,Traction,Essence
Manuelle,bmw,107568,Coupé,Noir,Noir,1599cm³,22.11.2024,La Manouba,(E92) LCI Coupé11/2008 - 06/2013,160 000km,BMW,9.2011,serie-3-coupe,Série 3 coupé,316i 1.6 i 16V,4.0,2.0,49 000DT,122ch dyn,,7cv,,Cuir intégral,Propulsion,Essence
Manuelle,bmw,108492,Compacte,Noir,Noir,1995cm³,20.11.2024,Ben Arous,(E87) LCI03/2007 - 06/2011,208 000km,BMW,12.201,serie-1-5p,Série 1,120d 2.0 d 16V 177cv,5.0,4.0,50 000DT,177ch dyn,,9cv,,Tissu,Propulsion,Diesel
Automatique,bmw,106461,Berline,Blanc,Noir,1699cm³,19.11.2024,Tunis,,107 000km,BMW,4.2017,serie-5,Série 5,,5.0,4.0,109 000DT,,,9cv,,Cuir intégral,Traction,Essence
Automatique,bmw,107335,Berline,Blanc,Marron,1600cm³,18.11.2024,Tunis,(F30) Berline01/2011 - 08/2015,260 000km,BMW,9.2013,serie-3,Série 3,316i 1.6 16V,5.0,5.0,60 000DT,136ch dyn,,7cv,,Cuir intégral,Traction,Essence
Automatique,bmw,108268,SUV/4x4,Blanc,Marron,1499cm³,18.11.2024,Ariana,(U11)07/2022 - Aujourd'hui,12 235km,BMW,1.2024,x1,X1,25e xDrive 1.5 i 12V 245 Plug-in-Hybrid DKG7,5.0,5.0,200 000DT,,245ch dyn,8cv,136ch dyn,Alcantara,Intégrale,Hybride rechargeable essence
Automatique,bmw,106263,SUV/4x4,Jaune,Noir,1998cm³,18.11.2024,Ariana,(F39)10/2017 - 12/2023,62 190km,BMW,8.202,x2,X2,,5.0,5.0,140 000DT,,,11cv,,Alcantara,Traction,Essence
Automatique,bmw,106236,Berline,Blanc,Noir,1998cm³,18.11.2024,Ariana,(G20) Berline03/2019 - 05/2022,64 327km,BMW,8.202,serie-3,Série 3,,5.0,4.0,158 000DT,,,10cv,,Alcantara,Propulsion,Essence
Automatique,bmw,108410,Berline,Gris anthracite,Gris,1499cm³,18.11.2024,Ariana,(F36) LCI Gran Coupé03/2017 - 07/2021,86 000km,BMW,1.202,serie-4-gran-coupe,Série 4 Gran Coupé,418i 1.5 i 12V Steptronic8,5.0,5.0,120 000DT,136ch dyn,,7cv,,Alcantara,Propulsion,Essence
Automatique,bmw,106706,Berline,Blanc,Noir,1598cm³,16.11.2024,Ariana,(F30) Berline01/2011 - 08/2015,238 000km,BMW,5.2014,serie-3,Série 3,316i 1.6 16V,5.0,5.0,51 000DT,136ch dyn,,7cv,,Similicuir,Traction,Essence
Manuelle,bmw,108305,Autres,Blanc,Noir,2000cm³,15.11.2024,Ben Arous,(F34) Gran Turismo03/2013 - 05/2016,176 000km,BMW,10.2014,serie-3-gt,Série 3 GT,318d 2.0 16V,5.0,5.0,89 000DT,136ch dyn,,7cv,,Tissu,Traction,Diesel
Automatique,bmw,108212,Coupé,Blanc,Noir,2000cm³,13.11.2024,Sfax,(F36) Gran Coupé03/2014 - 02/2017,180 000km,BMW,1.2017,serie-4-gran-coupe,Série 4 Gran Coupé,420i 2.0 i 16V,5.0,4.0,110 000DT,184ch dyn,,10cv,,Alcantara,Propulsion,Essence
Automatique,hyundai,109469,Citadine,Gris anthracite,Noir,999cm³,20.12.2024,Ben Arous,II phase 111/2020 - 11/2023,56 000km,Hyundai,11.2022,grand-i10,Grand i10,1.2 83cv boite auto,5.0,4.0,47 500DT,83ch dyn,,4cv,,Tissu,Traction,Essence
Automatique,hyundai,109248,Citadine,Noir,Noir,1198cm³,20.12.2024,Ariana,II phase 111/2020 - 11/2023,62 000km,Hyundai,9.2021,grand-i10,Grand i10,1.2 83cv boite auto,5.0,4.0,50 500DT,83ch dyn,,5cv,,Tissu,Traction,Essence
Manuelle,hyundai,108865,Autres,Blanc,Noir,2198cm³,20.12.2024,Ben Arous,01/1998 - 12/2007,999 999km,Hyundai,9.2006,h-1,H-1,,9.0,3.0,18 000DT,,,10cv,,Tissu,Traction,Essence
Automatique,hyundai,108863,Citadine,Blanc,Noir,999cm³,20.12.2024,Ariana,III Phase 110/2020 - 11/2023,21 000km,Hyundai,8.2023,i20,i20,1.0 T-GDI 12V GPF DCT7,5.0,4.0,79 000DT,100ch dyn,,5cv,,Tissu,Traction,Essence
Manuelle,hyundai,108796,Citadine,Rouge,Noir,999cm³,20.12.2024,Ben Arous,II phase 111/2020 - 11/2023,82 000km,Hyundai,8.2022,grand-i10,Grand i10,,5.0,4.0,42 000DT,,,4cv,,Tissu,Traction,Essence
Automatique,hyundai,108703,SUV/4x4,Blanc,Noir,1598cm³,20.12.2024,Ben Arous,IV10/2020 - Aujourd'hui,109 000km,Hyundai,10.2021,tucson-hybride,Tucson Hybride,,5.0,4.0,120 000DT,,,7cv,,Similicuir,Traction,Hybride diesel
Manuelle,hyundai,108535,Autres,Blanc,Noir,2198cm³,20.12.2024,Ben Arous,01/1998 - 12/2007,224 000km,Hyundai,3.2002,h-1,H-1,,3.0,2.0,23 000DT,,,8cv,,Tissu,Traction,Diesel
