Car ID,Brand,Model,Price,Kilométrage,Mise en circulation,Carrosserie,Boite vitesse,Cylindrée,Nombre de portes,Puissance fiscale,Transmission,Énergie
108618,kia,picanto,40 900DT,111 000km,5.2019,Citadine,Automatique,1198cm³,4.0,5cv,Traction,Essence
108532,kia,sportage,100 000DT,143 000km,12.2016,SUV/4x4,Automatique,1998cm³,4.0,10cv,Traction,Diesel
108129,kia,sportage,76 000DT,150 000km,2.2018,SUV/4x4,Automatique,1598cm³,4.0,8cv,Traction,Essence
107826,kia,picanto,42 500DT,91 000km,5.2021,Citadine,Automatique,1198cm³,4.0,5cv,Traction,Essence
106607,kia,optima,45 500DT,176 000km,5.2014,Berline,Automatique,1998cm³,4.0,10cv,Traction,Essence
105926,kia,optima,38 000DT,379 000km,3.2012,Berline,Automatique,1998cm³,4.0,10cv,Traction,Essence
104891,kia,sportage,47 000DT,232 000km,11.2011,SUV/4x4,Automatique,1999cm³,5.0,11cv,Traction,Essence
104678,kia,rio,69 900DT,35 000km,4.2022,Berline,Automatique,1398cm³,4.0,6cv,Traction,Essence
103833,kia,sorento,89 000DT,209 000km,5.2015,SUV/4x4,Automatique,2199cm³,5.0,12cv,Traction,Diesel
102866,kia,sportage,54 000DT,324 000km,7.2012,SUV/4x4,Automatique,1995cm³,4.0,11cv,Traction,Diesel
97316,kia,sportage,85 000DT,101 000km,7.2018,SUV/4x4,Automatique,1598cm³,,8cv,Traction,Essence
96785,kia,sorento,60 000DT,210 000km,9.2012,SUV/4x4,Automatique,,,12cv,Traction,Diesel
94919,kia,sportage,110 000DT,132 000km,1.2018,Citadine,Automatique,1999cm³,5.0,10cv,Traction,Diesel
109144,kia,cerato-5p,41 500DT,180 000km,10.2014,Berline,Automatique,1598cm³,5.0,8cv,Traction,Essence
106266,kia,rio,29 000DT,170 000km,8.201,Berline,Manuelle,1399cm³,4.0,6cv,Traction,Essence
101396,kia,sportage,98 000DT,119 000km,3.2019,SUV/4x4,Automatique,1599cm³,5.0,7cv,Traction,Diesel
106008,kia,rio-5p,56 000DT,117 000km,5.2021,Compacte,Manuelle,1200cm³,5.0,5cv,Traction,Essence
108222,kia,rio-5p,49 000DT,145 000km,1.2019,Citadine,Manuelle,1560cm³,5.0,5cv,Traction,Essence
109374,kia,sportage,112 000DT,85 000km,3.2021,SUV/4x4,Automatique,1600cm³,4.0,11cv,Traction,Essence
109267,kia,rio-5p,52 500DT,80 000km,10.2018,Coupé,Manuelle,1200cm³,4.0,5cv,Traction,Essence
108209,kia,picanto,42 900DT,90 000km,1.2022,Compacte,Manuelle,1200cm³,5.0,5cv,Traction,Essence
107143,kia,seltos,95 000DT,37 000km,6.2021,SUV/4x4,Automatique,1600cm³,4.0,8cv,Traction,Essence
106929,kia,sportage,148 600DT,39 000km,6.2022,SUV/4x4,Automatique,1600cm³,4.0,10cv,Intégrale,Essence
106745,kia,sportage,97 000DT,140 000km,11.2016,SUV/4x4,Automatique,2000cm³,5.0,10cv,Propulsion,Diesel
106741,kia,rio,58 000DT,114 000km,8.2019,Berline,Automatique,1400cm³,4.0,6cv,Traction,Essence
109450,kia,sportage,49 000DT,220 000km,12.201,SUV/4x4,Automatique,6000cm³,5.0,11cv,Traction,Essence
